,name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
612,Ginevra,2.922082490761726,0.05777591579691097,7.661738809048368,354.7741964838896,62.71555888180833,2.753256498823849,3.090908482699604,4.99513132073205,43044,0,2623,9.67,N,N,81.344,,0.028,12.906,,0.692,0.285,,,P,,1.77386,MBA,0.1973173916923392,1824.47171489738,171.8966182403569
613,Pia,2.69320564775636,0.1105977465784857,7.027043028321271,217.2873398311294,208.661232307086,2.395343172042056,2.991068123470665,4.41990034079776,41218,0,2382,11,N,N,29.191,,0.094,4.572,,,,,C,,,1.41089,MBA,0.2229973997987607,1614.368599476381,130.3247289198479
614,Roswitha,2.631795031826594,0.1094731991259983,2.76159021200954,13.45302779298861,247.4825887680249,2.343684010248628,2.91990605340456,4.2695912167989,42537,0,2810,10.3,N,N,48.626,,0.082,4.422,,0.708,0.315,,,CX,,1.32968,MBA,0.2308479274291095,1559.468191935799,248.4332284474161
615,Elly,2.554510470430162,0.05869786952322997,14.95124520778286,356.0730186493624,108.5687315440165,2.404566148141127,2.704454792719196,4.08290930520421,41224,0,2154,10.68,N,N,21.170,,0.211,5.297,,0.889,0.442,,,S,,1.46119,MBA,0.2414029334698287,1491.282623725838,139.142894800467
616,Patroclus,5.215834862979997,0.1384319735321118,22.04830003069185,44.35181542159805,307.9491642036218,4.493796549280084,5.93787317667991,11.9122541768669,7787,0,3955,8.19,N,N,140.362,,0.047,102.8,,0.677,0.215,,,P,,3.5405,TJN,0.08274053497629374,4350.950838100633,203.7581743801807
617,Elfriede,3.191059922420373,0.07007712855265255,17.05582432716919,110.839713159028,228.7386840890724,2.967439606017703,3.414680238823043,5.70046969995359,41286,0,2526,8.2,N,N,131.292,,0.05,14.791,,0.696,0.317,,,C,,1.98061,MBA,0.172902644035733,2082.096557908047,314.3168912447459
618,Triberga,2.52032942473122,0.07504306082396989,13.79833446125019,187.4789353228451,178.5883180071634,2.331196190414675,2.709462659047766,4.00123599455693,41281,0,2521,9.95,N,N,29.051,,0.219,29.311,,0.852,0.477,,,S,,1.32887,MBA,0.246330455066472,1461.451447011919,74.96218313687227
619,Drakonia,2.436012009798042,0.1350861322466033,7.736680626518925,0.0007381194225785,336.1646149318411,2.10694056928815,2.765083450307934,3.80213330917376,32339,0,2468,11.28,N,N,11.385,,0.419,5.487,,0.683,0.237,,,E,,1.09966,MBA,0.2592298068532851,1388.729191175717,267.8694787390335
620,Werdandi,3.128982783322325,0.1376338092437702,2.314065245249453,67.11535541820714,32.49143608387404,2.698328963795499,3.559636602849151,5.53494057553917,41190,0,2812,10.49,N,N,29.726,,0.127,11.776,,0.65,0.285,,,FCX:,,1.71569,MBA,0.1780735077307573,2021.637045215681,117.627654933905
621,Esther,2.414335074841177,0.2431775420485872,8.63703233994569,141.9133819101174,257.1647775664897,1.827223005659608,3.001447144022746,3.75149626052157,41251,0,2313,10.3,N,N,21.874,,0.316,47.5,,0.814,0.445,,S,S,,0.856782,MBA,0.2627288460179683,1370.234009155505,355.8140655752242
622,Chimaera,2.460803854647114,0.1130439251085457,14.126130576373,308.3263489157392,124.1623843879173,2.182624927995565,2.738982781298664,3.86032349334888,40053,0,2168,10.97,N,N,44.09,,0.0372,14.635,,0.714,0.324,,,XC,,1.22917,MBA,0.2553221990503474,1409.98315594568,81.71168980588368
623,Hektor,5.259579795027102,0.02328046566898047,18.16245929357821,342.7937657702811,185.153021539846,5.13713432817571,5.382025261878495,12.06242913021,41167,0,3104,7.2,N,N,225,,0.025,6.924,,0.776,0.249,,,D,,4.14513,TJN,0.08171043101916241,4405.802239809189,168.8875602617057
624,Xenia,2.644102511353843,0.2282443592080257,12.07985582030923,127.5327912902517,200.6607498328064,2.040601027969553,3.247603994738132,4.29957605181328,40996,0,2250,9.9,N,N,28.287,,0.221,21.017,,,,,Sa,,,1.03216,MBA,0.2292380159090066,1570.420152924801,202.9515511089366
625,Notburga,2.572984614446916,0.2428828188928609,25.37154104876746,341.6386962335176,43.55622323142008,1.948050858322089,3.197918370571744,4.12728050578105,40997,0,1998,9,N,N,73.236,,0.032,19.353,,0.705,0.332,,Xc,CX,,0.997854,MBA,0.238807680259919,1507.489204736527,156.006542026172
626,Charis,2.900852471968459,0.05816667810056573,6.472462327761106,142.4725576231709,177.0203571785999,2.732119520014239,3.069585423922678,4.94079308027685,41149,0,2863,9.95,N,N,38.018,,0.047,27.888,,0.68,0.261,,X,XB:,,1.7182,MBA,0.1994874643307931,1804.624672571118,78.37307467157945
627,Christine,2.581072209723474,0.04396743470085224,11.52791282738223,112.1111553048454,207.3674097140883,2.467589085884272,2.694555333562675,4.14675554899756,40972,0,2542,9.25,N,N,48.239,,0.12,16.1783,,0.813,0.321,,,SD,,1.45668,MBA,0.2376861311744849,1514.602464271358,202.8113813239506
628,Bernardina,3.143345429153584,0.1539514931094254,9.258285040866925,86.52917833054305,36.27726129693065,2.659422706976702,3.627268151330466,5.57309397220417,41124,0,2416,10,N,N,35.087,,0.14,3.763,,,,,X,,,1.68237,MBA,0.1768544166460087,2035.572573347574,108.7466817735819
629,Euphemia,2.62383566527568,0.1120611062309425,13.86599602176462,105.3653246971877,40.20168167267695,2.329805738056686,2.917865592494673,4.25023701130331,41146,0,2289,11.1,N,N,15.542,,0.291,350,,,,,,,,1.3603,MBA,0.231899134270943,1552.399068378532,145.3306234155486
